Instancia,Experimento,Seed,Fitness,Tiempo(s),Generaciones,Seleccion,Cruce,Mutacion
BASE,A2_Mut_Flip,18,1.9012345679012341,111.62025594711304,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,19,1.9382716049382709,118.71126008033752,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,20,1.9228395061728394,117.34173679351807,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,21,1.95679012345679,118.60550880432129,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,22,1.8518518518518516,121.17734885215759,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,23,1.7993827160493827,117.9476387500763,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,24,1.6759259259259252,111.73734974861145,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,25,1.8364197530864197,112.64472651481628,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,26,1.95679012345679,117.42713189125061,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,27,1.9876543209876543,116.77384567260742,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,28,1.8641975308641971,118.24941658973694,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,29,1.9783950617283952,120.4047281742096,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,30,1.95679012345679,119.25628280639648,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Intercambio,1,1.8425925925925921,122.35393500328064,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,2,1.7222222222222223,125.48962807655334,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,3,1.8950617283950615,125.34353041648865,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,4,2.003086419753086,130.19086456298828,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,5,1.8240740740740735,144.59300112724304,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,6,1.8086419753086413,151.91039991378784,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,7,1.799382716049383,120.31487607955933,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,8,1.7777777777777775,117.55409383773804,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,9,1.8302469135802464,112.24236965179443,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,10,1.9166666666666665,113.54510045051575,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,11,1.8333333333333333,111.66167497634888,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,12,1.8117283950617278,114.1030969619751,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,13,1.9259259259259252,118.01048016548157,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,14,1.9104938271604945,120.67218017578125,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,15,1.873456790123457,117.68722534179688,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,16,1.9166666666666665,140.7599687576294,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,17,1.873456790123456,129.9594554901123,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,18,1.790123456790123,118.0560576915741,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,19,1.790123456790123,111.68648147583008,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,20,1.8950617283950617,111.0449230670929,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,21,1.8456790123456788,113.56003379821777,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,22,1.8734567901234567,115.51994609832764,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,23,1.898148148148148,111.83896446228027,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,24,1.7777777777777775,115.11356353759766,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,25,1.6450617283950617,118.21513986587524,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,26,1.8518518518518516,112.42673087120056,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,27,1.7253086419753085,111.81318140029907,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,28,1.7901234567901234,125.94118022918701,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,29,1.8086419753086413,115.56993556022644,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Intercambio,30,1.7716049382716044,114.22453618049622,150,torneo_deterministico,bloques_verticales,intercambio_dia
BASE,A2_Mut_Reasignar,1,1.7962962962962958,118.9359278678894,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,2,1.901234567901234,112.210458278656,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,3,1.8858024691358022,113.32845997810364,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,4,1.8425925925925921,113.42964029312134,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,5,1.9012345679012341,114.4848575592041,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,6,2.0,129.54609656333923,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,7,1.9259259259259256,125.01692414283752,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,8,1.9043209876543203,124.54673194885254,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,9,1.9660493827160495,121.02637505531311,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,10,1.929012345679012,112.84403491020203,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,11,1.7283950617283952,116.44125986099243,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,12,1.9382716049382722,176.49625182151794,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,13,2.0308641975308643,111.90390539169312,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,14,1.8611111111111112,116.68519735336304,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,15,1.9104938271604945,125.15257930755615,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,16,1.932098765432099,123.30943131446838,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,17,1.8518518518518512,121.49382519721985,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,18,1.6728395061728394,112.15985417366028,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,19,1.8950617283950617,114.27329754829407,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,20,1.8271604938271602,121.99431133270264,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,21,1.9166666666666665,124.3208360671997,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,22,1.5401234567901234,125.13305068016052,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,23,1.9197530864197532,124.82942128181458,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,24,1.9567901234567904,124.0272946357727,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,25,1.9166666666666665,126.13556838035583,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,26,1.8086419753086413,124.47217750549316,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,27,1.9166666666666665,126.28556656837463,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,28,1.7222222222222223,112.35087132453918,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,29,1.6697530864197532,111.96301126480103,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A2_Mut_Reasignar,30,1.8827160493827155,123.04702615737915,150,torneo_deterministico,bloques_verticales,reasignar_turno
BASE,A3_Sel_Ranking,1,1.9876543209876534,120.04021430015564,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,2,2.0246913580246915,121.30548644065857,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,3,2.0123456790123457,117.71265125274658,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,4,2.0864197530864197,114.20899534225464,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,5,2.1018518518518516,121.27616357803345,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,6,1.9444444444444442,127.47640800476074,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,7,2.0679012345679006,116.36720585823059,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,8,1.9567901234567904,130.09601497650146,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,9,2.123456790123457,115.28603601455688,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,10,1.9444444444444444,115.01652550697327,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,11,2.0216049382716053,121.33269810676575,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,12,1.916666666666666,124.91511750221252,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,13,1.9351851851851851,122.36414384841919,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,14,1.8827160493827155,113.58170461654663,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,15,1.8117283950617284,114.78412508964539,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,16,2.055555555555556,114.37272214889526,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,17,1.8302469135802468,120.32524394989014,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,18,2.1111111111111116,120.06078004837036,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,19,1.95679012345679,119.59666132926941,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,20,2.0617283950617282,137.40105533599854,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,21,2.0123456790123453,119.72015047073364,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,22,1.8302469135802464,120.6884388923645,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,23,1.95679012345679,121.02921438217163,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,24,1.7901234567901232,119.60955095291138,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,25,1.9166666666666665,120.2111177444458,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
BASE,A3_Sel_Ranking,26,1.87037037037037,120.43383073806763,150,ranking_lineal,bloques_verticales,hibrida_adaptativa
